project,req_id,text,type,priority,hybrid_label,source,filename,n_chars,n_words
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,1,"Sistem, yfinance API kullanarak seçilen hisselerin güncel ve tarihsel piyasa verilerini otomatik olarak indirebilmelidir.",FR,Must,FR-Must,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,121,14
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,2,"Sistem, indirilen verileri SQLite veritabanındaki ilgili tablolarla eşleştirip kaydedebilmelidir.",FR,Must,FR-Must,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,97,9
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,3,"Kullanıcı, portföyündeki her bir hisse için alış fiyatı, miktar ve işlem tarihi bilgilerini arayüz üzerinden ekleyebilmelidir.",FR,Must,FR-Must,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,126,16
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,4,"Sistem, portföyün toplam değerini gerçek zamanlı piyasa verilerini kullanarak hesaplayabilmelidir.",FR,Must,FR-Must,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,98,10
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,5,"Kullanıcı, yaptığı her işlem için miktar, fiyat, işlem türü ve tarih bilgilerini içeren bir işlem kaydı oluşturabilmelidir.",FR,Must,FR-Must,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,123,17
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,6,"Sistem, Pandas kullanarak portföydeki her bir ürün için kâr/zarar oranını, ortalama maliyetini ve fiyat değişim analizini yapabilmelidir.",FR,Should,FR-Should,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,137,17
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,7,"Sistem, kullanıcıya portföyündeki ürünleri alternatif finansal araçlarla karşılaştırma imkânı sunan bir ürün karşılaştırma ekranı sağlayabilmelidir.",FR,Should,FR-Should,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,148,15
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,8,"Sistem, kullanıcıya portföy performansını zaman serisi grafiklerle görselleştirebilen bir analiz sekmesi sunabilmelidir.",FR,Should,FR-Should,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,120,12
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,9,"Kullanıcı, portföyündeki hisseleri ada, sektöre veya performans göstergelerine göre filtreleyebilmelidir.",FR,Should,FR-Should,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,105,10
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,10,"Sistem, yeni işlem eklendiğinde portföy değerini otomatik olarak güncelleyen bir arka plan hesaplama modülü çalıştırabilmelidir.",FR,Should,FR-Should,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,128,15
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,11,"Sistem, kullanıcıya ileri düzey analiz için seçilen hisseye ait volatilite, beta ve hareketli ortalama bilgilerini sunabilmelidir.",FR,Could,FR-Could,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,130,16
A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision,12,"Sistem, belirli bir hisse için fiyat belirlenen eşik değerin altına düştüğünde pop-up uyarı verebilmelidir.",FR,Could,FR-Could,Translated,A Central Hub to Facilitate Organization of Financial Information to Improve Financial Decision.xml,107,14
